"C_U_21_components"
"Iteration" "df-body etc.."
("Iteration" "df-body" "df-diffuser" "df-front_wheel" "df-front_wing" "df-nose" "df-rear_wheel" "df-rear_wing" "df-sidepod" "df-suspension" "drag-body" "drag-diffuser" "drag-front_wheel" "drag-front_wing" "drag-nose" "drag-rear_wheel" "drag-rear_wing" "drag-sidepod" "drag-suspension" "df-fw-1" "df-fw-2" "df-fw-3" "df-fw-4" "df-fw-e" "df-s-wlot" "df-s-1" "df-s-2" "df-s-e" "df-rw-1" "df-rw-2" "df-rw-3" "df-rw-4" "df-rw-e" "drag-fw-1" "drag-fw-2" "drag-fw-3" "drag-fw-4" "drag-fw-e" "drag-s-wlot" "drag-s-1" "drag-s-2" "drag-s-e" "drag-rw-1" "drag-rw-2" "drag-rw-3" "drag-rw-4" "drag-rw-e")
1 1.012371 29.54317 -0.2987944 28.06627 -2.360475 0.8363247 53.79908 19.94798 -0.4415357 211.1645 56.23919 77.95144 77.28993 18.02133 72.7516 169.313 137.6302 26.01296 7.042447 10.42727 6.209092 4.167327 0.2201334 0.799289 13.09772 4.366878 2.125628 16.62717 20.02374 4.831699 13.54958 -1.233112 21.32271 18.05217 11.85752 8.68373 17.3738 40.14876 20.18935 7.459747 43.81935 35.22535 31.88145 22.13369 21.09505 58.97749
2 0.1149268 35.72971 -0.8233992 34.72552 -2.656182 0.3453214 61.41148 24.48888 -0.6205219 180.6539 48.19278 66.31242 69.18965 16.90301 61.20347 149.5925 119.5784 22.54003 11.48568 12.65828 6.453371 3.777148 0.3510464 -0.3511531 16.65766 4.273585 4.529308 24.59062 20.50591 4.259302 13.97547 -1.919812 18.81882 16.82806 11.28612 8.052575 14.20409 35.33328 19.20611 6.982241 35.5167 31.52488 30.67836 19.65786 19.79849 47.93291
3 -0.1216427 40.58725 -1.213712 41.05061 -2.849493 0.02697609 69.93558 28.53146 -0.8020814 151.9009 40.65282 54.50876 59.55722 14.85977 49.86821 129.5413 100.635 18.72204 15.46951 14.62273 6.771513 3.680614 0.5062461 -1.183061 19.87369 4.285614 6.357298 31.60398 21.84837 4.567312 14.42001 -2.504094 15.74748 14.9872 10.09475 7.007732 11.72006 29.14072 17.36188 6.159216 29.25117 26.99245 28.47986 17.32789 17.42831 39.31284
4 -0.2854831 43.25119 -1.515346 45.82022 -2.978977 -0.1830993 75.52783 31.33128 -0.938765 129.1631 34.69833 45.18558 51.75008 13.10469 40.99131 113.6548 85.45004 15.68369 18.69498 16.08221 6.895841 3.498293 0.6488919 -1.87316 22.26604 4.177497 7.699663 36.87053 22.4931 4.615424 14.45977 -2.910985 13.24477 13.44567 9.069545 6.138322 9.851775 24.01261 15.76233 5.458036 24.53339 23.30727 26.65938 15.47488 15.41166 32.80163
5 -0.2880663 44.68063 -1.720737 49.70021 -3.056991 -0.3357019 79.1963 33.42789 -1.027831 111.3128 30.00678 37.88168 45.56 11.65191 34.07751 101.1885 73.4858 13.30446 21.47285 17.23568 6.925074 3.28664 0.779965 -2.444898 24.13169 4.006512 8.762414 40.95429 22.75295 4.513003 14.18391 -3.207843 11.24365 12.20712 8.235222 5.44037 8.433634 19.91293 14.45356 4.870919 20.94394 20.37239 25.18671 14.07653 13.72921 27.82366
6 -0.1474989 45.25486 -1.858103 53.0755 -3.103614 -0.4519805 81.65855 35.11635 -1.105441 97.26285 26.26707 32.13165 40.63072 10.45906 28.67957 91.3344 64.01011 11.43034 23.96596 18.1921 6.92216 3.08681 0.9084734 -2.918465 25.668 3.819427 9.652835 44.16914 22.82777 4.34397 13.74303 -3.425358 9.631906 11.2164 7.558777 4.880513 7.343131 16.61928 13.38802 4.380269 18.1922 18.0323 24.00043 13.02828 12.31493 23.95846
7 0.06981809 45.28197 -1.949187 56.09468 -3.135794 -0.53869 83.4076 36.53521 -1.172517 86.16511 23.25523 27.59408 36.68591 9.482806 24.46524 83.49052 56.46099 9.953122 26.20648 19.0187 6.919026 2.919277 1.031198 -3.313123 26.94351 3.641064 10.43627 46.76309 22.85145 4.170735 13.2116 -3.58927 8.325144 10.42095 7.012435 4.433588 6.493788 13.95456 12.5189 3.972122 16.0623 16.15376 23.05835 12.25078 11.11688 20.91074
8 0.3013493 44.97814 -2.012743 58.82358 -3.161683 -0.6045141 84.6898 37.72842 -1.236636 77.35102 20.81116 24.00508 33.51064 8.684372 21.17086 77.20403 50.41111 8.789261 28.22769 19.73945 6.922237 2.787863 1.146334 -3.642763 27.98759 3.481533 11.13869 48.86334 22.87597 4.017064 12.65216 -3.718723 7.256526 9.780821 6.570884 4.078274 5.824134 11.78418 11.80451 3.634455 14.3987 14.63834 22.32071 11.67057 10.10247 18.47194
9 0.4992336 44.51133 -2.060428 61.30814 -3.185576 -0.6586897 85.68583 38.71372 -1.292116 70.30948 18.81699 21.16194 30.9422 8.032735 18.5908 72.14069 45.53612 7.874873 30.05462 20.37713 6.932231 2.69129 1.252874 -3.919015 28.80768 3.345002 11.77217 50.58234 22.92952 3.894681 12.10638 -3.827079 6.37597 9.264482 6.214153 3.797997 5.289601 10.00485 11.2095 3.357221 13.08968 13.4085 21.75495 11.23822 9.246486 16.49254
10 0.6259707 43.97651 -2.100752 63.55797 -3.209834 -0.7099549 86.48879 39.49484 -1.3387 64.6453 17.18133 18.9076 28.85129 7.501353 16.56611 68.04274 41.58189 7.156481 31.70292 20.93444 6.945701 2.625064 1.349848 -4.152614 29.4111 3.233799 12.34125 51.98696 23.01644 3.803566 11.6013 -3.919472 5.644685 8.84567 5.925399 3.57831 4.857229 8.534496 10.70542 3.132149 12.05334 12.40465 21.32977 10.91546 8.528259 14.86461
