"C_U_21_massflow"
"Iteration" "floor-1 etc.."
("Iteration" "floor-1" "floor-2" "d-in" "d-out" "s-up-out" "s-up-in" "s-center-out" "s-center-in" "s-bottom-out" "s-bottom-in" "s-floor-endplate" "s-floor-out" "s-floor-center" "s-floor-in" "fwheel-up-out" "fwheel-up-center" "fwheel-up-in" "fwheel-center-out" "fwheel-center-center" "fwheel-center-in" "fwheel-bot-out" "fwheel-bot-center" "fwheel-bot-in" "outisde-up-out" "outside-up-center" "outside-up-in" "outside-center-out" "outside-center-center" "outside-center-in" "outside-bot-out" "outside-bot-center" "outside-bot-in" "rwheel-up-out" "rwheel-up-center" "rhweel-up-in" "rwheel-center-out" "rwheel-center-center" "rwheel-center-in" "rwheel-bot-out" "rwheel-bot-center")
950 -0.2629306 -0.2064908 -0.4889943 0.6501034 0.05550262 0.04638054 -0.005209934 0.03087814 0.02932767 0.04762642 0.06642196 -0.07986625 -0.1076378 -0.180164 -0.1749612 -0.1758167 -0.1886602 -0.1303878 -0.1488552 -0.1623377 -0.1282999 -0.2131269 -0.2008104 -0.1894974 -0.1864547 -0.07738132 -0.1981282 -0.2104096 -0.1827759 -0.2224918 -0.2239754 -0.2288853 -0.05548215 -0.01882941 -0.02604133 -0.04254562 -0.02247887 -0.06314062 -0.06555755 -0.10832
951 -0.2629348 -0.2064867 -0.4888156 0.6497573 0.05546087 0.04646107 -0.005563894 0.03120162 0.02927635 0.0477652 0.06640437 -0.07990204 -0.1076589 -0.1802091 -0.1749429 -0.1757638 -0.1886736 -0.1303852 -0.148877 -0.1625317 -0.1283931 -0.2131555 -0.2008332 -0.1894711 -0.1863573 -0.0773154 -0.1981106 -0.2103705 -0.1828702 -0.2224846 -0.2239677 -0.2289432 -0.0555039 -0.0188274 -0.02620808 -0.04244372 -0.02239951 -0.06319174 -0.06555424 -0.1082212
952 -0.2629363 -0.2064797 -0.4886415 0.6494327 0.05540499 0.0465159 -0.005883684 0.03150944 0.0291848 0.04793466 0.06639578 -0.07992219 -0.1076664 -0.1802562 -0.1749299 -0.1757179 -0.1887026 -0.1303748 -0.1488955 -0.1627195 -0.1284723 -0.2131774 -0.2008541 -0.1894476 -0.1862438 -0.0772501 -0.1980911 -0.2103294 -0.1829734 -0.2224771 -0.2239601 -0.2290016 -0.05550086 -0.01882165 -0.02634039 -0.04233155 -0.02230696 -0.06323028 -0.06555093 -0.1081294
953 -0.2629338 -0.2064681 -0.4884751 0.6491348 0.0553474 0.04654068 -0.006146277 0.03179794 0.02906392 0.04812233 0.0663951 -0.07992872 -0.1076591 -0.180303 -0.1749207 -0.1756803 -0.1887487 -0.1303576 -0.1489111 -0.1628971 -0.1285364 -0.2131929 -0.2008731 -0.1894272 -0.1861187 -0.07718782 -0.1980706 -0.2102877 -0.1830844 -0.2224698 -0.223953 -0.2290602 -0.05546638 -0.01879607 -0.02644572 -0.04221721 -0.0222133 -0.06326317 -0.06555085 -0.1080481
954 -0.2629275 -0.2064524 -0.488321 0.6488661 0.05528666 0.0465375 -0.006344138 0.03206375 0.02891405 0.04831684 0.06640297 -0.07992151 -0.1076385 -0.1803478 -0.174914 -0.1756506 -0.1888109 -0.1303335 -0.1489233 -0.1630615 -0.1285857 -0.2132 -0.2008889 -0.1894099 -0.1859847 -0.07712986 -0.198049 -0.2102457 -0.1832022 -0.2224624 -0.2239462 -0.2291177 -0.05541775 -0.01874744 -0.02655267 -0.04211064 -0.02212316 -0.06328855 -0.06555613 -0.1079744
955 -0.2629168 -0.2064329 -0.4881809 0.648629 0.05522607 0.04651715 -0.006468975 0.03230539 0.02873718 0.04850757 0.0664193 -0.07990185 -0.1076075 -0.1803866 -0.1749089 -0.1756289 -0.1888871 -0.1303029 -0.1489318 -0.1632097 -0.1286217 -0.2131999 -0.2009012 -0.189396 -0.1858447 -0.07707898 -0.1980267 -0.2102038 -0.1833262 -0.2224552 -0.2239401 -0.2291737 -0.05536629 -0.01868764 -0.02667338 -0.04201086 -0.022034 -0.06330622 -0.06556498 -0.1079037
956 -0.2629008 -0.2064094 -0.4880496 0.6484149 0.0551623 0.04649211 -0.00652199 0.03252136 0.02853979 0.04868193 0.06644376 -0.07987104 -0.1075696 -0.1804178 -0.1749049 -0.1756155 -0.1889764 -0.1302675 -0.1489369 -0.1633406 -0.1286454 -0.2131924 -0.2009097 -0.1893854 -0.185701 -0.07703798 -0.198004 -0.2101625 -0.1834561 -0.2224486 -0.2239348 -0.2292285 -0.0553017 -0.01862659 -0.02678692 -0.04191022 -0.02194205 -0.06331889 -0.06557544 -0.1078347
957 -0.2628802 -0.2063826 -0.4879246 0.6482106 0.05509175 0.0464728 -0.00651014 0.03270724 0.0283275 0.04883698 0.0664763 -0.07983168 -0.1075264 -0.1804397 -0.174902 -0.1756105 -0.1890761 -0.1302278 -0.1489388 -0.1634541 -0.1286578 -0.2131789 -0.2009151 -0.1893784 -0.1855558 -0.07700841 -0.1979813 -0.2101224 -0.1835909 -0.2224427 -0.2239306 -0.229282 -0.05520936 -0.01855344 -0.02688074 -0.04180785 -0.021851 -0.06332846 -0.06558851 -0.1077671
958 -0.2628556 -0.2063529 -0.4878097 0.6480248 0.05501285 0.04646347 -0.006440646 0.03286152 0.02810755 0.04897004 0.06651711 -0.07978531 -0.1074798 -0.1804501 -0.1748997 -0.1756138 -0.1891827 -0.1301845 -0.1489381 -0.1635507 -0.1286619 -0.2131606 -0.2009178 -0.1893747 -0.1854113 -0.07699081 -0.1979588 -0.2100838 -0.1837303 -0.2224374 -0.2239273 -0.2293345 -0.05509312 -0.01845784 -0.02696621 -0.04171183 -0.02176938 -0.06333646 -0.06560811 -0.1077035
959 -0.2628276 -0.2063207 -0.4877055 0.6478626 0.05492817 0.04646063 -0.006320729 0.03298528 0.02788976 0.04908093 0.06656577 -0.07973348 -0.1074306 -0.180448 -0.1748972 -0.1756248 -0.189292 -0.1301387 -0.1489352 -0.1636317 -0.1286592 -0.2131381 -0.2009183 -0.1893744 -0.1852694 -0.07698549 -0.1979364 -0.2100466 -0.1838746 -0.2224326 -0.2239248 -0.229386 -0.05496966 -0.01834586 -0.02705776 -0.04162684 -0.02169737 -0.0633416 -0.06563614 -0.1076421
